NOC_Title_Standardized,Vulnerability_Index,Avg_AI_Exposure,Wage_Decline_Pct,Entry_Level_Pct,Province,Industry,Risk_Level,Recommended_Action
"Food Counter Attendants, Kitchen Helpers And Related Support Occupations",64.27325581395348,25.688000000000002,0.0,97.09302325581395,NAT,Information and cultural industries,CRITICAL,Intensive reskilling programs
"Program Leaders And Instructors In Recreation, Sport And Fitness",55.116279069767444,25.688000000000002,0.0,60.46511627906976,NAT,Information and cultural industries,CRITICAL,AI adaptation training
"Other Labourers In Processing, Manufacturing And Utilities",51.48255813953489,25.688000000000002,0.0,45.93023255813954,NAT,Information and cultural industries,CRITICAL,Wage subsidy for entry-level positions
Security Guards And Related Security Service Occupations,49.156976744186046,25.688000000000002,0.0,36.627906976744185,NAT,Information and cultural industries,CRITICAL,Career transition support
"Student Monitors, Crossing Guards And Related Occupations",44.651162790697676,25.688000000000002,0.0,18.6046511627907,NAT,Information and cultural industries,CRITICAL,Digital literacy programs
"Janitors, Caretakers And Heavy-Duty Cleaners",43.48837209302326,25.688000000000002,0.0,13.953488372093023,NAT,Information and cultural industries,CRITICAL,Mid-career upskilling incentives
Other Practitioners Of Natural Healing,42.616279069767444,25.688000000000002,0.0,10.465116279069768,NAT,Information and cultural industries,CRITICAL,Apprenticeship expansion
Customer Services Representatives - Financial Institutions,42.616279069767444,25.688000000000002,0.0,10.465116279069768,NAT,Information and cultural industries,CRITICAL,Remote work transition support
Traditional Chinese Medicine Practitioners And Acupuncturists,42.03488372093023,25.688000000000002,0.0,8.13953488372093,NAT,Information and cultural industries,CRITICAL,Emerging tech certification programs
"Support Occupations In Accommodation, Travel And Facilities Set-Up Services",41.01744186046512,25.688000000000002,0.0,4.069767441860465,NAT,Information and cultural industries,CRITICAL,Job displacement insurance
